SYMBOL,GeneID,Median(Tumor),Median(Normal),Log2FC,adjp
AGTRAP,ENSG00000177674,58.399,21.31,1.413,5.41E-21
AHCTF1,ENSG00000153207,14.12,4.71,1.405,6.69E-54
AHCYL1,ENSG00000168710,42.019,18.77,1.122,1.68E-33
AHCYL2,ENSG00000158467,18.371,4.62,1.785,7.98E-34
AHDC1,ENSG00000126705,8.21,3.32,1.092,7.95E-25
AHNAK,ENSG00000124942,87.262,11.45,2.826,2.66E-60
AHNAK2,ENSG00000185567,40.509,0.51,4.781,7.55E-69
AHR,ENSG00000106546,32.32,2.3,3.336,2.85E-74
AHSA1,ENSG00000100591,98.879,26.08,1.883,3.65E-61
AIDA,ENSG00000186063,39.901,10.89,1.782,1.3E-60
AIF1,ENSG00000204472,59.218,3.67,3.689,9.7E-59
AIFM1,ENSG00000156709,23.11,9.97,1.136,2.71E-50
AIFM2,ENSG00000042286,8.92,1.84,1.804,3.07E-68
AIG1,ENSG00000146416,29.871,6.48,2.045,3.54E-72
AIM1,ENSG00000112297,7.01,1.4,1.739,1.93E-43
AIM1L,ENSG00000176092,9,0.16,3.108,1.34E-55
AIMP1,ENSG00000164022,29.009,11.79,1.23,5.84E-43
AIMP2,ENSG00000106305,21.78,5.48,1.814,2.58E-64
AIP,ENSG00000110711,71.699,18.63,1.889,3.24E-59
AJUBA,ENSG00000129474,7.03,2.46,1.215,3.45E-25
AK1,ENSG00000106992,80.359,14.47,2.395,4.75E-65
AK2,ENSG00000004455,97.639,34.961,1.456,1.06E-45
AK3,ENSG00000147853,26.4,12.56,1.015,3.57E-25
AK4,ENSG00000162433,8.98,0.31,2.929,2.19E-64
AK4P1,ENSG00000263535,1.75,0.09,1.335,5.48E-42
AK6,ENSG00000085231,30.279,13.68,1.091,6.25E-38
AK7,ENSG00000140057,2.5,0.55,1.175,8.05E-43
AK8,ENSG00000165695,1.67,0.25,1.095,2.2E-38
AKAP1,ENSG00000121057,28.3,9.31,1.507,3.19E-45
AKAP11,ENSG00000023516,7.38,2.23,1.375,2.72E-46
AKAP12,ENSG00000131016,14.8,1.72,2.538,2.77E-43
AKAP13,ENSG00000170776,54.288,19.39,1.439,1.84E-32
AKAP2,ENSG00000241978,16.57,2.05,2.526,1.27E-56
AKIP1,ENSG00000166452,18.181,4.71,1.748,7.22E-62
AKIRIN1,ENSG00000174574,22.31,7.01,1.541,7.31E-53
AKIRIN2,ENSG00000135334,21.08,5.82,1.695,4.97E-59
AKNA,ENSG00000106948,12.4,3.59,1.546,5.92E-29
AKR1B1,ENSG00000085662,55.691,15.36,1.793,2.21E-43
AKR1B10,ENSG00000198074,22.641,0.24,4.253,7.65E-45
AKR1C1,ENSG00000187134,21.11,9.32,1.099,2.54E-11
AKR1C2,ENSG00000151632,17.2,3.34,2.068,4.25E-28
AKR1C3,ENSG00000196139,79.688,14.57,2.374,9.27E-35
AKR7A2,ENSG00000053371,44.529,19.28,1.167,1.81E-37
AKR7A3,ENSG00000162482,17.34,104.69,-2.527,1.84E-21
AKR7L,ENSG00000211454,2.26,7.22,-1.334,1.79E-18
AKT1,ENSG00000142208,80.498,34.08,1.216,8.11E-35
AKT1S1,ENSG00000204673,33.91,13.81,1.237,1.97E-39
AKT3,ENSG00000117020,8.33,1.87,1.701,1.44E-41
AKTIP,ENSG00000166971,17.55,7.07,1.201,1.21E-44
AL158801.1,ENSG00000279392,2.57,0.1,1.698,3.85E-58
AL162151.3,ENSG00000234648,475.235,204.846,1.21,0.0333
AL442127.1,ENSG00000278371,0,6.32,-2.872,1.56E-11
AL513523.2,ENSG00000279767,17.49,3.13,2.163,4.78E-42
AL928768.3,ENSG00000253701,2.93,0,1.975,1.01E-24
ALAS1,ENSG00000023330,37.53,6.31,2.398,1.87E-76
ALB,ENSG00000163631,4.14,255.857,-5.643,1.83E-58
ALCAM,ENSG00000170017,23.28,10.57,1.069,9.63E-20
ALDH1A3,ENSG00000184254,18.69,3.03,2.289,2.07E-38
ALDH1B1,ENSG00000137124,15.64,2.99,2.06,6.55E-53
ALDH1L1,ENSG00000144908,6.04,18.96,-1.503,7.3E-19
ALDH1L2,ENSG00000136010,2.51,9.61,-1.596,4.16E-26
ALDH2,ENSG00000111275,139.478,22.841,2.559,3.58E-56
ALDH3A1,ENSG00000108602,6.56,0.17,2.692,6.13E-31
ALDH3B1,ENSG00000006534,35.089,2.88,3.217,3.29E-46
ALDH4A1,ENSG00000159423,5.37,1.61,1.287,1.11E-42
ALDH7A1,ENSG00000164904,37.139,15.81,1.182,2.09E-32
ALDH9A1,ENSG00000143149,34.049,14,1.224,9.6E-44
ALDOA,ENSG00000149925,1162.084,235.763,2.296,1.45E-45
ALDOB,ENSG00000136872,15.72,45.86,-1.487,1.66E-09
ALDOC,ENSG00000109107,15.17,1.67,2.598,1.16E-63
ALG1,ENSG00000033011,21.7,10.33,1.003,1.83E-42
ALG11,ENSG00000253710,4.15,1.37,1.12,4.78E-49
ALG1L,ENSG00000189366,3.41,0.42,1.635,6.15E-26
ALG8,ENSG00000159063,29.49,9.08,1.597,3.6E-65
ALKBH1,ENSG00000100601,7.16,2.34,1.289,1.22E-58
ALKBH2,ENSG00000189046,16.29,7.32,1.055,4.97E-33
ALKBH4,ENSG00000160993,8.54,2.69,1.37,6.44E-61
ALKBH5,ENSG00000091542,42.75,15.58,1.4,1.12E-49
ALKBH6,ENSG00000239382,13.3,4.78,1.307,7.69E-42
ALOX15B,ENSG00000179593,2.1,0.24,1.322,1.11E-12
ALOX5,ENSG00000012779,44.479,14.48,1.555,1.05E-20
ALOX5AP,ENSG00000132965,63.579,4.64,3.517,2E-51
ALPK1,ENSG00000073331,7.73,3.12,1.083,1E-18
ALS2,ENSG00000003393,6.18,2.36,1.095,7.29E-42
ALYREF,ENSG00000183684,60.732,11.86,2.263,6.09E-74
AMACR,ENSG00000242110,10.04,3.48,1.301,2.13E-40
AMBRA1,ENSG00000110497,12.95,3.28,1.705,4.61E-64
AMDHD2,ENSG00000162066,17.03,6.39,1.287,8.64E-34
AMFR,ENSG00000159461,57.931,16.02,1.792,6.07E-66
AMHR2,ENSG00000135409,0.19,3.18,-1.813,5.78E-46
AMICA1,ENSG00000160593,12.89,0.95,2.833,6.09E-46
AMIGO2,ENSG00000139211,17.64,1.37,2.975,2.87E-66
AMMECR1,ENSG00000101935,4.12,0.98,1.371,6.85E-66
AMMECR1L,ENSG00000144233,9.15,3.9,1.051,1.04E-40
AMN,ENSG00000166126,13.17,0.38,3.36,5.61E-39
AMOT,ENSG00000126016,3.36,0.58,1.464,4.63E-48
AMOTL2,ENSG00000114019,14.97,6.38,1.114,3.7E-22
AMPD2,ENSG00000116337,32.61,15.43,1.033,2.57E-20
AMPD3,ENSG00000133805,6.19,1.48,1.536,1.25E-23
AMY1B,ENSG00000174876,0.04,1.34,-1.17,3.36E-08
AMY2A,ENSG00000243480,4.86,8429.9,-10.491,2.71E-41
AMY2B,ENSG00000240038,11.68,1523.738,-6.91,2.82E-49
AMYP1,ENSG00000227408,0.13,11.61,-3.48,4.02E-13
AMZ2,ENSG00000196704,42.611,16.22,1.341,3.55E-50
ANAPC10,ENSG00000164162,12,4.11,1.347,4.08E-60
ANAPC11,ENSG00000141552,134.298,40.87,1.692,2.59E-49
ANAPC13,ENSG00000129055,46.629,18.8,1.266,5.82E-44
ANAPC15,ENSG00000110200,37.139,14.94,1.259,6.13E-44
ANG,ENSG00000214274,33.541,11.18,1.504,4.33E-29
ANGEL1,ENSG00000013523,8,17.349,-1.028,4.46E-19
ANGPT2,ENSG00000091879,3.32,0.19,1.86,4.69E-60
ANGPTL2,ENSG00000136859,23.88,1.55,3.286,1.17E-65
ANK1,ENSG00000029534,1.99,0.33,1.169,8.34E-29
ANK2,ENSG00000145362,2.76,0.45,1.375,3.64E-32
ANKH,ENSG00000154122,53.16,9.39,2.382,2.93E-67
ANKIB1,ENSG00000001629,11.09,4.96,1.02,1.62E-31
ANKLE2,ENSG00000176915,32.199,13.43,1.202,9.76E-34
ANKMY2,ENSG00000106524,11.03,3.93,1.287,5.01E-52
ANKRD11,ENSG00000167522,32.951,13.53,1.224,8.33E-33
ANKRD13C,ENSG00000118454,6.37,2.51,1.07,1.63E-45
ANKRD13D,ENSG00000172932,28.46,8.93,1.569,9.66E-34
ANKRD20A5P,ENSG00000186481,0.84,3.82,-1.389,5.2E-26
ANKRD22,ENSG00000152766,13.59,3.98,1.551,6.3E-14
ANKRD27,ENSG00000105186,9.5,2.81,1.463,2.95E-57
